assessment_date	point_code	segment_id	type	is_present	no_habitat	assessment_source	measured	inaccessible	not_measurable	reason_no_assessment	change_location
16604	1047854_1	1_4_1088	35	1	0	field assessment	1	NA	NA	NA	0
16611	559698_1	1_4_674	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
16611	63762_1	1_4_783	35	1	0	field assessment	1	NA	NA	NA	0
16611	784658_1	1_4_102	35	0	1	field assessment	0	NA	NA	NA	0
16611	93650_1	1_4_1495	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
16622	378102_1	1_4_1309	35	1	0	field assessment	1	NA	NA	NA	0
16622	494838_1	1_4_853	35	1	0	field assessment	1	NA	NA	NA	0
16629	391346_1	1_4_320	35	1	0	field assessment	1	NA	NA	NA	0
16629	88754_1	1_4_329	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: bodemplaat en overwelving	0
16675	1150886_1	1_4_1690	35	1	0	field assessment	1	NA	NA	NA	0
17009	947026_1	1_4_516	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17017	483446_1	1_4_1172	35	1	0	field assessment	1	NA	NA	NA	0
17018	1018130_1	1_4_1117	35	1	0	field assessment	1	NA	NA	NA	0
17018	1269266_1	1_4_422	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17018	946450_1	1_4_95	35	1	0	field assessment	1	NA	NA	NA	0
17021	678674_1	1_4_899	35	1	0	field assessment	1	NA	NA	NA	0
17024	131970_1	1_4_31	35	NA	NA	field assessment	0	NA	long term	permanent ongeschikt: schaduw en bodemverharding	0
17024	131970_2	1_4_31	35	1	0	field assessment	1	NA	NA	NA	1
17024	351794_1	1_4_772	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17025	1880594_1	1_4_435	35	NA	NA	field assessment	0	long term	NA	permanent niet toegankelijk: onbereikbaar;  evt afspreken met eigenaars weekendverblijf?	0
17031	485342_1	1_4_1143	35	1	0	field assessment	1	NA	NA	NA	0
17032	2485086_1	1_4_806	35	1	0	field assessment	1	NA	NA	NA	0
17032	952670_1	1_4_1515	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17039	1006710_1	1_4_1189	35	1	0	field assessment	1	NA	NA	NA	0
17039	756982_1	1_4_851	35	1	0	field assessment	1	NA	NA	NA	0
17305	434881_1	1_4_1464	35	1	0	field assessment	1	NA	NA	NA	0
17319	1370998_1	1_4_1166	35	1	0	field assessment	1	NA	NA	NA	0
17319	2133494_1	1_4_1393	35	1	0	field assessment	1	NA	NA	NA	0
17319	2465270_1	1_4_1402	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17364	2241970_1	1_4_348	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17364	2246930_1	1_4_1110	35	1	0	field assessment	1	NA	NA	NA	0
17364	2369362_1	1_4_55	35	1	0	field assessment	1	NA	NA	NA	0
17364	2589570_1	1_4_956	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17364	2992914_1	1_4_926	35	0	1	field assessment	0	NA	NA	NA	0
17365	2291670_1	1_4_603	35	1	0	field assessment	1	NA	NA	NA	0
17365	7550870_1	1_4_1692	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
17395	1497974_1	1_4_565	35	NA	NA	field assessment	0	NA	long term	NA	0
17395	1497974_2	1_4_565	35	1	0	field assessment	1	NA	NA	NA	1
17395	1596534_1	1_4_1198	35	1	0	field assessment	1	NA	NA	NA	0
17399	1135858_1	1_4_1811	35	1	0	field assessment	1	NA	NA	NA	0
17399	1309170_1	1_4_1824	35	1	0	field assessment	1	NA	NA	NA	0
17414	1484114_1	1_4_207	35	1	0	field assessment	1	NA	NA	NA	0
17414	266578_1	1_4_188	35	1	0	field assessment	1	NA	NA	NA	0
17414	435538_1	1_4_208	35	1	0	field assessment	1	NA	NA	NA	0
17414	790866_1	1_4_191	35	1	0	field assessment	1	NA	NA	NA	0
17729	1762550_1	1_4_1320	35	1	0	field assessment	1	NA	NA	NA	0
17729	2685046_1	1_4_1458	35	1	0	field assessment	1	NA	NA	NA	0
17730	11085430_1	1_4_882	35	1	0	field assessment	1	NA	NA	NA	0
17732	8185921_1	1_4_1011	35	1	0	field assessment	0	NA	short term	tijdelijk niet geschikt: droog	0
17749	3173042_1	1_4_359	35	1	0	field assessment	1	NA	NA	NA	0
17751	1917010_1	1_4_125	35	0	1	field assessment	0	NA	NA	NA	0
17751	2221394_1	1_4_222	35	0	1	field assessment	0	NA	NA	NA	0
17751	2342994_1	1_4_118	35	1	0	field assessment	1	NA	NA	NA	0
17751	2548050_1	1_4_200	35	1	0	field assessment	1	NA	NA	NA	0
17751	819282_1	1_4_114	35	1	0	field assessment	1	NA	NA	NA	0
17808	2252274_1	1_4_270	35	1	0	field assessment	1	NA	NA	NA	0
17808	2476530_1	1_4_1859	35	1	0	field assessment	1	NA	NA	NA	0
17808	2477554_1	1_4_292	35	1	0	field assessment	1	NA	NA	NA	0
17808	2853618_1	1_4_1815	35	1	0	field assessment	1	NA	NA	NA	0
17808	3034610_1	1_4_253	35	1	0	field assessment	0	long term	NA	permanent niet toegankelijk	0
18038	4193526_1	1_4_838	35	NA	NA	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
18038	4193526_2	1_4_838	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	1
18040	2366582_1	1_4_1182	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
18040	3729270_1	1_4_1535	35	1	0	field assessment	1	NA	NA	NA	0
18043	2129938_1	1_4_404	35	1	0	field assessment	1	NA	NA	NA	0
18044	16967745_1	1_4_1008	35	1	0	field assessment	1	NA	NA	NA	0
18078	1142226_1	1_4_1497	35	NA	NA	field assessment	0	NA	long term	permanent ongeschikt: schaduw en overwelving	0
18078	1142226_2	1_4_1497	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw en bodemplaat	1
18079	3431858_1	1_4_1041	35	1	0	field assessment	1	NA	NA	NA	0
18079	3483058_1	1_4_9	35	1	0	field assessment	1	NA	NA	NA	0
18079	3902898_1	1_4_20	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw en overwelving	0
18103	3240210_1	1_4_1054	35	NA	NA	field assessment	0	NA	long term	NA	0
18103	3240210_2	1_4_1054	35	0	1	field assessment	0	NA	NA	NA	1
18103	3481874_1	1_4_919	35	0	1	field assessment	0	NA	NA	NA	0
18122	3197426_1	1_4_1852	35	1	0	field assessment	1	NA	NA	NA	0
18122	3757298_1	1_4_1810	35	1	0	field assessment	1	NA	NA	NA	0
18122	3799218_1	1_4_317	35	1	0	field assessment	1	NA	NA	NA	0
18122	3886578_1	1_4_259	35	1	0	field assessment	1	NA	NA	NA	0
18124	3115490_1	1_4_969	35	NA	NA	field assessment	0	NA	long term	NA	0
18124	3115490_2	1_4_969	35	1	0	field assessment	1	NA	NA	NA	1
18124	3238226_1	1_4_158	35	0	1	field assessment	0	NA	NA	NA	0
18124	3402066_1	1_4_173	35	1	0	field assessment	1	NA	NA	NA	0
18124	3406162_1	1_4_128	35	1	0	field assessment	1	NA	NA	NA	0
18423	2999158_1	1_7_38243	35	0	1	field assessment	0	NA	NA	NA	0
18423	4110198_1	1_4_1556	35	1	0	field assessment	1	NA	NA	NA	0
18424	1764882_1	1_7_3419	35	1	0	field assessment	1	NA	NA	NA	0
18424	3337746_1	1_7_3424	35	NA	NA	field assessment	0	NA	long term	NA	0
18424	3337746_2	1_7_3424	35	1	0	field assessment	1	NA	NA	NA	1
18424	4204406_1	1_7_31111	35	1	0	field assessment	1	NA	NA	NA	0
18428	1305334_1	1_7_208880	35	0	1	field assessment	0	NA	NA	NA	0
18428	2614318_1	1_7_199859	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
18428	4314870_1	1_7_208884	35	0	1	field assessment	0	NA	NA	NA	0
18428	906998_1	1_7_214728	35	0	1	field assessment	0	NA	NA	NA	0
18439	1153089_1	1_7_121104	35	1	0	field assessment	1	NA	NA	NA	0
18445	1309998_1	1_7_189728	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
18445	1834286_1	1_7_221475	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
18445	2169582_1	1_7_46206	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: schaduw en overwelving	0
18449	1841014_1	1_7_31125	35	NA	NA	field assessment	0	NA	long term	NA	0
18449	1841014_2	1_7_31125	35	1	0	field assessment	1	NA	NA	NA	1
18449	2031030_1	1_7_171136	35	NA	NA	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
18449	2031030_2	1_7_171136	35	1	0	field assessment	1	NA	NA	NA	1
18452	2123986_1	1_7_19326	35	1	0	field assessment	1	NA	NA	NA	0
18452	2448146_1	1_7_3495	35	0	1	field assessment	0	NA	NA	NA	0
18452	2566354_1	1_7_19473	35	1	0	field assessment	1	NA	NA	NA	0
18452	3634002_1	1_7_27889	35	1	0	field assessment	1	NA	NA	NA	0
18452	3717106_1	1_7_114570	35	1	0	field assessment	1	NA	NA	NA	0
18453	4152754_1	1_4_1037	35	NA	NA	field assessment	0	NA	long term	NA	0
18453	4152754_2	1_4_1037	35	1	0	field assessment	1	NA	NA	NA	1
18472	3968990_1	1_7_28258	35	0	1	field assessment	0	NA	NA	NA	0
18472	4275614_1	1_4_1640	35	NA	NA	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
18472	4275614_2	1_4_1640	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	1
18473	1549302_1	1_7_23080	35	0	1	field assessment	0	NA	NA	NA	0
18473	2050322_1	1_7_20555	35	1	0	field assessment	1	NA	NA	NA	0
18473	2817750_1	1_7_27117	35	0	1	field assessment	0	NA	NA	NA	0
18473	4146134_1	1_7_11707	35	1	0	field assessment	1	NA	NA	NA	0
18493	212134_1	1_7_1607	35	0	1	field assessment	0	NA	NA	NA	0
18493	3214834_1	1_7_20152	35	1	0	field assessment	1	NA	NA	NA	0
18493	3598834_1	1_7_20150	35	1	0	field assessment	1	NA	NA	NA	0
18493	69106_1	1_7_20153	35	1	0	field assessment	1	NA	NA	NA	0
18494	1237410_1	1_7_8855	35	1	0	field assessment	1	NA	NA	NA	0
18494	1867858_1	1_7_7177	35	NA	NA	field assessment	0	short term	NA	tijdelijk niet toegankelijk	0
18494	426066_1	1_7_7733	35	1	0	field assessment	1	NA	NA	NA	0
18494	4268114_1	1_7_7743	35	1	0	field assessment	1	NA	NA	NA	0
18494	4324434_1	1_7_8851	35	1	0	field assessment	1	NA	NA	NA	0
18628	1621622_1	1_7_170694	35	0	1	orthophoto	0	NA	NA	NA	0
18628	2387410_1	1_4_1498	35	NA	NA	field assessment	0	long term	NA	permanent niet toegankelijk	0
18628	700137_1	1_7_7841	35	0	1	orthophoto	0	NA	NA	NA	0
18813	1040402_1	1_7_140445	35	1	0	field assessment	1	NA	NA	NA	0
18813	1618386_1	1_4_593	35	1	0	field assessment	1	NA	NA	NA	0
18813	1704146_1	1_4_73	35	1	0	field assessment	1	NA	NA	NA	0
18813	3020754_1	1_4_637	35	0	1	field assessment	0	NA	NA	NA	0
18814	1444470_1	1_7_55005	35	1	0	field assessment	1	NA	NA	NA	0
18814	2538102_1	1_7_54994	35	0	1	field assessment	0	NA	NA	NA	0
18814	264822_1	1_7_54997	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: overwelving	0
18814	2706038_1	1_7_55007	35	1	0	field assessment	1	NA	NA	NA	0
18815	1354614_1	1_7_166720	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: schaduw en bodemplaat	0
18815	2124662_1	1_7_34547	35	1	0	field assessment	1	NA	NA	NA	0
18815	3153014_1	1_4_1179	35	1	0	field assessment	1	NA	NA	NA	0
18815	359542_1	1_7_166695	35	0	1	field assessment	0	NA	NA	NA	0
18815	3832950_1	1_4_1224	35	0	1	field assessment	0	NA	NA	NA	0
18816	2811126_1	1_7_30980	35	1	0	field assessment	1	NA	NA	NA	0
18816	422134_1	1_7_47415	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
18827	1729430_1	1_4_1047	35	0	1	field assessment	0	NA	NA	NA	0
18827	3041246_1	1_4_1139	35	1	0	field assessment	1	NA	NA	NA	0
18830	1508470_1	1_7_226908	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
18830	3343478_1	1_7_226909	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
18830	3792430_1	1_4_1434	35	1	0	field assessment	1	NA	NA	NA	0
18830	3930614_1	1_4_1636	35	0	1	field assessment	0	NA	NA	NA	0
18831	3048322_1	1_4_24	35	1	0	field assessment	1	NA	NA	NA	0
18834	4055250_1	1_4_63	35	1	0	field assessment	1	NA	NA	NA	0
18834	4136210_1	1_7_74832	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: droog	0
18835	1372353_1	1_4_1358	35	1	0	field assessment	1	NA	NA	NA	0
18835	2151105_1	1_4_1466	35	1	0	field assessment	1	NA	NA	NA	0
18835	3280774_1	1_7_61527	35	0	1	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
18993	1372353_1	1_4_1358	35	0	1	field assessment	0	NA	NA	in 2022 bezocht; gh	NA
18993	88754_1	1_4_329	35	NA	NA	field assessment	0	NA	long term	permanent ongeschikt: door hoog % overwelving	0
19142	494838_1	1_4_853	35	0	1	field assessment	0	NA	NA	NA	0
19142	756982_1	1_4_851	35	0	1	field assessment	0	NA	NA	NA	0
19143	947026_1	1_4_516	35	1	0	field assessment	1	NA	NA	NA	0
19145	1006710_1	1_4_1189	35	1	0	field assessment	1	NA	NA	NA	0
19145	378102_1	1_4_1309	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
19145	483446_1	1_4_1172	35	1	0	field assessment	1	NA	NA	NA	0
19146	351794_1	1_4_772	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
19146	351794_2	1_4_772	35	1	0	field assessment	1	NA	NA	NA	1
19146	559698_1	1_4_674	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
19146	93650_1	1_4_1495	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
19178	131970_2	1_4_31	35	1	0	field assessment	1	NA	NA	NA	0
19178	2241970_1	1_4_348	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
19178	391346_1	1_4_320	35	NA	NA	field assessment	0	long term	NA	permanent niet toegankelijk: niet meer bereikbaar op een veilige manier	0
19179	1047854_1	1_4_1088	35	1	0	field assessment	1	NA	NA	NA	0
19184	1150886_1	1_4_1690	35	0	1	field assessment	0	NA	NA	NA	0
19188	1018130_1	1_4_1117	35	1	0	field assessment	1	NA	NA	NA	0
19188	2246930_1	1_4_1110	35	1	0	field assessment	1	NA	NA	NA	0
19188	63762_1	1_4_783	35	1	0	field assessment	1	NA	NA	NA	0
19188	946450_1	1_4_95	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
19201	2498978_1	1_7_8873	35	1	0	field assessment	1	NA	NA	NA	0
19201	655778_1	1_7_8876	35	1	0	field assessment	1	NA	NA	NA	0
19201	690658_1	1_7_8910	35	1	0	field assessment	1	NA	NA	NA	0
19530	2485086_1	1_4_806	35	0	1	field assessment	0	NA	NA	NA	0
19530	952670_1	1_4_1515	35	1	0	field assessment	1	NA	NA	NA	0
19535	1762550_1	1_4_1320	35	0	1	field assessment	0	NA	NA	NA	0
19535	2685046_1	1_4_1458	35	0	1	field assessment	0	NA	NA	NA	0
19536	2369362_1	1_4_55	35	1	0	field assessment	1	NA	NA	NA	0
19537	2129938_1	1_4_404	35	0	1	field assessment	0	NA	NA	NA	0
19537	678674_1	1_4_899	35	0	1	field assessment	0	NA	NA	NA	0
19541	2589570_1	1_4_956	35	NA	NA	field assessment	0	long term	NA	NA	0
19541	3173042_1	1_4_359	35	NA	NA	field assessment	0	long term	NA	NA	0
19541	3431858_1	1_4_1041	35	1	0	field assessment	1	NA	NA	NA	0
19541	3483058_1	1_4_9	35	1	0	field assessment	0	NA	long term	NA	0
19541	3799218_1	1_4_317	35	NA	NA	field assessment	0	long term	NA	NA	0
19542	1370998_1	1_4_1166	35	1	0	field assessment	1	NA	NA	NA	0
19542	1497974_2	1_4_565	35	1	0	field assessment	1	NA	NA	NA	0
19542	1596534_1	1_4_1198	35	1	0	field assessment	1	NA	NA	NA	0
19580	2133494_1	1_4_1393	35	1	0	field assessment	1	NA	NA	NA	0
19580	2291670_1	1_4_603	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: hermeandering	0
19580	3729270_1	1_4_1535	35	1	0	field assessment	0	NA	long term	permanent ongeschikt: schaduw	0
19583	1135858_1	1_4_1811	35	1	0	field assessment	1	NA	NA	NA	0
19583	1309170_1	1_4_1824	35	1	0	field assessment	1	NA	NA	NA	0
19583	2853618_1	1_4_1815	35	1	0	field assessment	1	NA	NA	NA	0
19583	3757298_1	1_4_1810	35	1	0	field assessment	1	NA	NA	NA	0
19585	2252274_1	1_4_270	35	1	0	field assessment	1	NA	NA	NA	0
19585	2476530_1	1_4_1859	35	1	0	field assessment	1	NA	NA	NA	0
19585	2477554_1	1_4_292	35	1	0	field assessment	1	NA	NA	NA	0
19585	3886578_1	1_4_259	35	1	0	field assessment	1	NA	NA	NA	0
19586	1484114_1	1_4_207	35	1	0	field assessment	1	NA	NA	NA	0
19586	2548050_1	1_4_200	35	1	0	field assessment	1	NA	NA	NA	0
19586	266578_1	1_4_188	35	1	0	field assessment	1	NA	NA	NA	0
19586	435538_1	1_4_208	35	1	0	field assessment	1	NA	NA	NA	0
19586	790866_1	1_4_191	35	1	0	field assessment	1	NA	NA	NA	0
19587	2342994_1	1_4_118	35	1	0	field assessment	1	NA	NA	NA	0
19587	3402066_1	1_4_173	35	1	0	field assessment	1	NA	NA	NA	0
19587	3406162_1	1_4_128	35	1	0	field assessment	1	NA	NA	NA	0
19587	819282_1	1_4_114	35	1	0	field assessment	1	NA	NA	NA	0
19881	1153089_1	1_7_121104	35	1	0	field assessment	1	NA	NA	NA	0
19881	2151105_1	1_4_1466	35	0	1	field assessment	0	NA	NA	NA	0
19881	434881_1	1_4_1464	35	0	1	field assessment	0	NA	NA	NA	0
19884	485342_1	1_4_1143	35	1	0	field assessment	1	NA	NA	NA	0
19888	1841014_2	1_7_31125	35	0	1	field assessment	0	NA	NA	NA	0
19899	1444470_1	1_7_55005	35	1	0	field assessment	1	NA	NA	NA	0
19899	2050322_1	1_7_20555	35	0	1	field assessment	0	NA	NA	NA	0
19899	2124662_1	1_7_34547	35	1	0	field assessment	1	NA	NA	NA	0
19899	2706038_1	1_7_55007	35	1	0	field assessment	1	NA	NA	NA	0
19908	1618386_1	1_4_593	35	1	0	field assessment	1	NA	NA	NA	0
19908	1704146_1	1_4_73	35	0	1	field assessment	0	NA	NA	NA	0
19908	2031030_2	1_7_171136	35	0	1	field assessment	0	NA	NA	NA	0
19909	1040402_1	1_7_140445	35	0	1	field assessment	0	NA	NA	NA	0
19909	1764882_1	1_7_3419	35	1	0	field assessment	0	NA	long term	teveel schaduw	0
19909	2123986_1	1_7_19326	35	1	0	field assessment	1	NA	NA	NA	0
19909	2566354_1	1_7_19473	35	0	1	field assessment	0	NA	NA	NA	0
19912	2811126_1	1_7_30980	35	0	1	field assessment	0	NA	NA	NA	0
19912	4193526_2	1_4_838	35	1	0	field assessment	0	NA	long term	teveel schaduw	0
19913	4367318_1	1_4_459	35	0	1	field assessment	0	NA	NA	NA	0
19948	3337746_2	1_7_3424	35	1	0	field assessment	1	NA	NA	NA	0
19948	3634002_1	1_7_27889	35	1	0	field assessment	1	NA	NA	NA	0
19948	3717106_1	1_7_114570	35	1	0	field assessment	1	NA	NA	NA	0
19948	4110198_1	1_4_1556	35	1	0	field assessment	1	NA	NA	NA	0
19948	4152754_2	1_4_1037	35	1	0	field assessment	1	NA	NA	NA	0
19949	4146134_1	1_7_11707	35	1	0	field assessment	1	NA	NA	NA	0
19949	4204406_1	1_7_31111	35	1	0	field assessment	1	NA	NA	NA	0
19949	4394806_1	1_4_1333	35	0	1	field assessment	0	NA	NA	NA	0
19956	3115490_2	1_4_969	35	1	0	field assessment	1	NA	NA	NA	0
19956	3328482_1	1_7_8899	35	1	0	field assessment	1	NA	NA	NA	0
19956	3734610_1	1_7_8845	35	1	0	field assessment	1	NA	NA	NA	0
