point_code	segment_id	grts_ranking	grts_ranking_draw	sac_streams	legacy_site	type	is_active	date	db_ref
63762_1	1_4_783	63762	63762	intersecting or downstream	0	3260	1	19188	Dommel_05
69106_1	1_7_20153	69106	69106	intersecting or downstream	0	3260	1	18493	Maas_29
88754_1	1_4_329	88754	88754	intersecting or downstream	0	3260	0	18993	Berwijn_01
93650_1	1_4_1495	93650	93650	outside	0	3260	0	19146	Stiemer_01
131970_1	1_4_31	131970	131970	outside	0	3260	0	17024	NA
131970_2	1_4_31	26346370	131970	outside	0	3260	1	19178	Voer_08
212134_1	1_7_1607	212134	212134	intersecting or downstream	0	3260	0	18493	ZwaBe_03
264822_1	1_7_54997	264822	264822	outside	0	3260	0	18814	KlHGr_03
266578_1	1_4_188	266578	266578	intersecting or downstream	0	3260	1	19586	Maas_08
351794_1	1_4_772	351794	351794	outside	0	3260	0	19146	KaaBe_01
351794_2	1_4_772	49770034	351794	outside	0	3260	1	19146	NA
359542_1	1_7_166695	359542	359542	outside	0	3260	0	18815	SchNe_09
378102_1	1_4_1309	378102	378102	outside	0	3260	0	19145	LoeNe_01
391346_1	1_4_320	391346	391346	intersecting or downstream	0	3260	0	19178	Berwijn_02
422134_1	1_7_47415	422134	422134	outside	0	3260	0	18816	DalLo_01
426066_1	1_7_7733	426066	426066	intersecting or downstream	0	3260	1	18494	Maas_30
434881_1	1_4_1464	434881	434881	outside	0	3260	0	19881	ZilBe_01
435538_1	1_4_208	435538	435538	intersecting or downstream	0	3260	1	19586	Maas_09
483446_1	1_4_1172	483446	483446	outside	0	3260	1	19145	SchNe_01
485342_1	1_4_1143	485342	485342	outside	0	3260	1	19884	AntGr_01
494838_1	1_4_853	494838	494838	intersecting or downstream	0	3260	0	19142	DesNe_01
526302_1	2023_5598	526302	526302	outside	0	3260	1	20254	NA
559698_1	1_4_674	559698	559698	intersecting or downstream	0	3260	0	19146	BosBe_01
655778_1	1_7_8876	655778	655778	intersecting or downstream	0	3260	1	19201	NA
678674_1	1_4_899	678674	678674	intersecting or downstream	0	3260	0	19537	Dommel_08
690658_1	1_7_8910	690658	690658	intersecting or downstream	0	3260	1	19201	NA
700137_1	1_7_7841	700137	700137	outside	0	3260	0	18628	MolBe_01
707042_1	2023_39077	707042	707042	intersecting or downstream	0	3260	1	20254	NA
722910_1	2023_5591	722910	722910	outside	0	3260	1	20254	NA
756982_1	1_4_851	756982	756982	intersecting or downstream	0	3260	0	19142	DesNe_02
784658_1	2023_238538	784658	784658	intersecting or downstream	0	3260	1	20254	Dommel_04
790866_1	1_4_191	790866	790866	intersecting or downstream	0	3260	1	19586	Maas_10
819282_1	1_4_114	819282	819282	intersecting or downstream	0	3260	1	19587	Maas_03
871858_1	2023_218778	871858	871858	intersecting or downstream	0	3260	1	20254	NA
906998_1	1_7_214728	906998	906998	intersecting or downstream	0	3260	0	18428	SasLo_01
923730_1	2023_213783	923730	923730	intersecting or downstream	0	3260	1	20254	NA
946450_1	1_4_95	946450	946450	intersecting or downstream	0	3260	0	19188	Dommel_03
947026_1	1_4_516	947026	947026	intersecting or downstream	0	3260	1	19143	IttBe_01
952670_1	1_4_1515	952670	952670	outside	0	3260	1	19530	MunLo_01
1006710_1	1_4_1189	1006710	1006710	outside	0	3260	1	19145	SchNe_02
1018130_1	1_4_1117	1018130	1018130	intersecting or downstream	0	3260	1	19188	Dommel_10
1040402_1	1_7_140445	1040402	1040402	outside	0	3260	0	19909	WarBe_06
1047854_1	1_4_1088	1047854	1047854	intersecting or downstream	0	3260	1	19179	NooMa_02
1135858_1	1_4_1811	1135858	1135858	intersecting or downstream	0	3260	1	19583	Maas_18
1142226_1	1_4_1497	1142226	1142226	outside	0	3260	0	18078	NA
1142226_2	1_4_1497	9530834	1142226	outside	0	3260	0	18078	Stiemer_02
1150886_1	1_4_1690	1150886	1150886	intersecting or downstream	0	3260	0	19184	WalBo_01
1153089_1	1_7_121104	1153089	1153089	intersecting or downstream	0	3260	1	19881	BorBe_03
1237410_1	1_7_8855	1237410	1237410	intersecting or downstream	0	3260	1	18494	Maas_33
1269266_1	1_4_422	1269266	1269266	intersecting or downstream	0	3260	0	17018	WarBe_01
1305334_1	1_7_208880	1305334	1305334	intersecting or downstream	0	3260	0	18428	SasLo_03
1309170_1	1_4_1824	1309170	1309170	intersecting or downstream	0	3260	1	19583	Maas_19
1309998_1	1_7_189728	1309998	1309998	intersecting or downstream	0	3260	0	18445	GelLo_01
1354614_1	1_7_166720	1354614	1354614	outside	0	3260	0	18815	MolNeZ_01
1370998_1	1_4_1166	1370998	1370998	outside	0	3260	1	19542	SchNe_03
1372353_1	1_4_1358	1372353	1372353	outside	0	3260	0	18993	Ede_01
1444470_1	1_7_55005	1444470	1444470	outside	0	3260	1	19899	KlHGr_04
1484114_1	1_4_207	1484114	1484114	intersecting or downstream	0	3260	1	19586	Maas_11
1497974_1	1_4_565	1497974	1497974	outside	0	3260	0	17395	NA
1497974_2	1_4_565	26663798	1497974	outside	0	3260	1	19542	SchNe_04
1508470_1	1_7_226908	1508470	1508470	outside	0	3260	0	18830	PosVa_01o
1530742_1	2023_206654	1530742	1530742	outside	0	3260	1	20254	NA
1549302_1	1_7_23080	1549302	1549302	intersecting or downstream	0	3260	0	18473	KleNe_08
1553426_1	2023_255481	1553426	1553426	outside	0	3260	1	20254	NA
1593558_1	2023_143992	1593558	1593558	outside	0	3260	1	20254	NA
1596534_1	1_4_1198	1596534	1596534	outside	0	3260	1	19542	SchNe_05
1618386_1	1_4_593	1618386	1618386	outside	0	3260	1	19908	Stiemer_03
1621622_1	1_7_170694	1621622	1621622	outside	0	3260	0	18628	OudLo_01
1685846_1	2023_197911	1685846	1685846	intersecting or downstream	0	3260	1	20254	NA
1704146_1	1_4_73	1704146	1704146	outside	0	3260	0	19908	Dommel_13
1729430_1	1_4_1047	1729430	1729430	outside	0	3260	0	18827	HofBe_01
1762550_1	1_4_1320	1762550	1762550	outside	0	3260	0	19535	LoeNe_02
1764882_1	1_7_3419	1764882	1764882	intersecting or downstream	0	3260	0	19909	WarBe_04
1834286_1	1_7_221475	1834286	1834286	intersecting or downstream	0	3260	0	18445	NooMa_03
1841014_1	1_7_31125	1841014	1841014	intersecting or downstream	0	3260	0	18449	NA
1841014_2	1_7_31125	53352310	1841014	intersecting or downstream	0	3260	0	19888	Asbeek_03
1867858_1	1_7_7177	1867858	1867858	intersecting or downstream	0	3260	1	18494	Maas_34
1880594_1	1_4_435	1880594	1880594	intersecting or downstream	0	3260	0	17025	WarBe_02
1917010_1	2023_39231	1917010	1917010	intersecting or downstream	0	3260	1	20254	Maas_04
2031030_1	1_7_171136	2031030	2031030	intersecting or downstream	0	3260	0	18449	NA
2031030_2	1_7_171136	43974070	2031030	intersecting or downstream	0	3260	0	19908	KleBe_01
2050322_1	1_7_20555	2050322	2050322	intersecting or downstream	0	3260	0	19899	Dommel_11
2123986_1	1_7_19326	2123986	2123986	intersecting or downstream	0	3260	1	19909	BolBe_09
2124662_1	1_7_34547	2124662	2124662	outside	0	3260	1	19899	SchNe_10
2129938_1	1_4_404	2129938	2129938	outside	0	3260	0	19537	WarBe_03
2133494_1	1_4_1393	2133494	2133494	intersecting or downstream	0	3260	1	19580	GroNe_10
2151105_1	1_4_1466	2151105	2151105	outside	0	3260	0	19881	ZilBe_02
2169582_1	1_7_46206	2169582	2169582	intersecting or downstream	0	3260	0	18445	RoDeG_01
2221394_1	2023_39328	2221394	2221394	intersecting or downstream	0	3260	1	20254	Maas_16
2241970_1	1_4_348	2241970	2241970	intersecting or downstream	0	3260	0	19178	Berwijn_03
2246930_1	1_4_1110	2246930	2246930	intersecting or downstream	0	3260	1	19188	Dommel_09
2252274_1	1_4_270	2252274	2252274	intersecting or downstream	0	3260	1	19585	Maas_20
2291670_1	1_4_603	2291670	2291670	intersecting or downstream	0	3260	0	19580	KleNe_03
2342994_1	1_4_118	2342994	2342994	intersecting or downstream	0	3260	1	19587	Maas_05
2366582_1	1_4_1182	2366582	2366582	outside	0	3260	0	18040	SchNe_06
2369362_1	1_4_55	2369362	2369362	intersecting or downstream	0	3260	1	19536	BosBe_02
2387410_1	1_4_1498	2387410	2387410	outside	0	3260	0	18628	Stiemer_04
2448146_1	1_7_3495	2448146	2448146	intersecting or downstream	0	3260	0	18452	Dommel_12
2465270_1	1_4_1402	2465270	2465270	intersecting or downstream	0	3260	0	17319	GroNe_09
2476530_1	1_4_1859	2476530	2476530	intersecting or downstream	0	3260	1	19585	Maas_21
2477554_1	1_4_292	2477554	2477554	intersecting or downstream	0	3260	1	19585	Maas_22
2485086_1	1_4_806	2485086	2485086	intersecting or downstream	0	3260	0	19530	GouLo_12
2498978_1	1_7_8873	2498978	2498978	intersecting or downstream	0	3260	1	19201	NA
2505846_1	2023_206723	2505846	2505846	outside	0	3260	1	20254	NA
2516958_1	2023_5561	2516958	2516958	outside	0	3260	1	20254	NA
2538102_1	1_7_54994	2538102	2538102	outside	0	3260	0	18814	KlHGr_05
2548050_1	1_4_200	2548050	2548050	intersecting or downstream	0	3260	1	19586	Maas_12
2566354_1	1_7_19473	2566354	2566354	intersecting or downstream	0	3260	0	19909	BolBe_10
2589570_1	1_4_956	2589570	2589570	intersecting or downstream	0	3260	0	19541	Voer_02
2614318_1	1_7_199859	2614318	2614318	intersecting or downstream	0	3260	0	18428	GieBo_01
2685046_1	1_4_1458	2685046	2685046	intersecting or downstream	0	3260	0	19535	DesNe_03
2706038_1	1_7_55007	2706038	2706038	outside	0	3260	1	19899	KlHGr_06
2811126_1	1_7_30980	2811126	2811126	outside	0	3260	0	19912	LoeNe_03
2817750_1	1_7_27117	2817750	2817750	intersecting or downstream	0	3260	0	18473	DeAa_01
2853618_1	1_4_1815	2853618	2853618	intersecting or downstream	0	3260	1	19583	Maas_23
2992914_1	2023_238623	2992914	2992914	intersecting or downstream	0	3260	1	20254	Dommel_06
2999158_1	1_7_38243	2999158	2999158	intersecting or downstream	0	3260	0	18423	KlHGr_02
3020754_1	1_4_637	3020754	3020754	outside	0	3260	0	18813	GieBe_05
3034610_1	1_4_253	3034610	3034610	intersecting or downstream	0	3260	0	17808	Maas_02
3041246_1	1_4_1139	3041246	3041246	outside	0	3260	1	18827	AntGr_02
3048322_1	1_4_24	3048322	3048322	outside	0	3260	1	18831	Voer_09
3115490_1	1_4_969	3115490	3115490	intersecting or downstream	0	3260	0	18124	NA
3115490_2	1_4_969	17795554	3115490	intersecting or downstream	0	3260	1	19956	Maas_01
3153014_1	1_4_1179	3153014	3153014	outside	0	3260	1	18815	SchNe_07
3173042_1	1_4_359	3173042	3173042	intersecting or downstream	0	3260	0	19541	Berwijn_04
3197426_1	1_4_1852	3197426	3197426	intersecting or downstream	0	3260	1	18122	Maas_24
3210678_1	2023_194175	3210678	3210678	intersecting or downstream	0	3260	1	20254	NA
3214834_1	1_7_20152	3214834	3214834	intersecting or downstream	0	3260	1	18493	Maas_36
3238226_1	1_4_158	3238226	3238226	intersecting or downstream	0	3260	0	18124	Maas_13
3240210_1	1_4_1054	3240210	3240210	intersecting or downstream	0	3260	0	18103	NA
3240210_2	1_4_1054	8483090	3240210	intersecting or downstream	0	3260	0	18103	Dommel_02
3280774_1	1_7_61527	3280774	3280774	outside	0	3260	0	18835	LosBe_01
3328482_1	1_7_8899	3328482	3328482	intersecting or downstream	0	3260	1	19956	NA
3337746_1	1_7_3424	3337746	3337746	intersecting or downstream	0	3260	0	18424	NA
3337746_2	1_7_3424	45084178	3337746	intersecting or downstream	0	3260	1	19948	WarBe_05
3343478_1	1_7_226909	3343478	3343478	outside	0	3260	0	18830	PosVa_02
3378422_1	2023_259138	3378422	3378422	intersecting or downstream	0	3260	1	20254	NA
3402066_1	1_4_173	3402066	3402066	intersecting or downstream	0	3260	1	19587	Maas_14
3406162_1	1_4_128	3406162	3406162	intersecting or downstream	0	3260	1	19587	Maas_06
3431858_1	1_4_1041	3431858	3431858	intersecting or downstream	0	3260	1	19541	Voer_06
3481874_1	1_4_919	3481874	3481874	intersecting or downstream	0	3260	0	18103	Dommel_07
3483058_1	1_4_9	3483058	3483058	intersecting or downstream	0	3260	0	19541	Voer_01
3598834_1	1_7_20150	3598834	3598834	intersecting or downstream	0	3260	1	18493	Maas_38
3634002_1	1_7_27889	3634002	3634002	intersecting or downstream	0	3260	1	19948	IttBe_02
3717106_1	1_7_114570	3717106	3717106	intersecting or downstream	0	3260	1	19948	ZieBe_01
3729270_1	1_4_1535	3729270	3729270	intersecting or downstream	0	3260	0	19580	GroNe_07
3734610_1	1_7_8845	3734610	3734610	intersecting or downstream	0	3260	1	19956	NA
3757298_1	1_4_1810	3757298	3757298	intersecting or downstream	0	3260	1	19583	Maas_25
3792430_1	1_4_1434	3792430	3792430	outside	0	3260	1	18830	LoeNe_04
3799218_1	1_4_317	3799218	3799218	intersecting or downstream	0	3260	0	19541	Berwijn_05
3832950_1	1_4_1224	3832950	3832950	outside	0	3260	0	18815	SchNe_11
3864710_1	2023_167912	3864710	3864710	intersecting or downstream	0	3260	1	20254	NA
3868638_1	2023_5592	3868638	3868638	outside	0	3260	1	20254	NA
3886578_1	1_4_259	3886578	3886578	intersecting or downstream	0	3260	1	19585	Maas_26
3902898_1	1_4_20	3902898	3902898	intersecting or downstream	0	3260	0	18079	Voer_04
3930614_1	1_4_1636	3930614	3930614	outside	0	3260	0	18830	MolNe_01
3968990_1	1_7_28258	3968990	3968990	intersecting or downstream	0	3260	0	18472	AntGr_04
3991617_1	2023_175052	3991617	3991617	intersecting or downstream	0	3260	1	20254	NA
4055250_1	1_4_63	4055250	4055250	outside	0	3260	1	20254	Dommel_14
4092178_1	2023_238592	4092178	4092178	intersecting or downstream	0	3260	1	20254	NA
4110198_1	1_4_1556	4110198	4110198	intersecting or downstream	0	3260	1	19948	GroNe_08
4136210_1	1_7_74832	4136210	4136210	outside	0	3260	0	18834	Plat_01
4146134_1	1_7_11707	4146134	4146134	intersecting or downstream	0	3260	1	19949	DeAa_02
4152754_1	1_4_1037	4152754	4152754	intersecting or downstream	0	3260	0	18453	NA
4152754_2	1_4_1037	33512882	4152754	intersecting or downstream	0	3260	1	19948	Voer_07
4193526_1	1_4_838	4193526	4193526	intersecting or downstream	0	3260	0	18038	NA
4193526_2	1_4_838	37747958	4193526	intersecting or downstream	0	3260	0	19912	DesNe_05
4204406_1	1_7_31111	4204406	4204406	intersecting or downstream	0	3260	1	19949	GroNe_14
4206034_1	2023_209488	4206034	4206034	outside	0	3260	1	20254	NA
4217718_1	2023_252561	4217718	4217718	outside	0	3260	1	20254	NA
4241758_1	2023_104298	4241758	4241758	outside	0	3260	1	20254	NA
4247526_1	2023_250732	4247526	4247526	outside	0	3260	1	20254	NA
4268114_1	1_7_7743	4268114	4268114	intersecting or downstream	0	3260	1	18494	Maas_40
4275614_1	1_4_1640	4275614	4275614	intersecting or downstream	0	3260	0	18472	NA
4275614_2	1_4_1640	41926046	4275614	intersecting or downstream	0	3260	0	18472	Mark_01
4314870_1	1_7_208884	4314870	4314870	intersecting or downstream	0	3260	0	18428	SasLo_02
4324434_1	1_7_8851	4324434	4324434	intersecting or downstream	0	3260	1	18494	Maas_41
4367318_1	1_4_459	4367318	4367318	intersecting or downstream	0	3260	0	19913	NA
4377874_1	2023_226460	4377874	4377874	outside	0	3260	1	20254	NA
4394806_1	1_4_1333	4394806	4394806	intersecting or downstream	0	3260	0	19949	NA
4405142_1	2023_200563	4405142	4405142	intersecting or downstream	0	3260	1	20254	NA
4424578_1	2023_218822	4424578	4424578	outside	0	3260	1	20254	NA
4440146_1	2023_39225	4440146	4440146	intersecting or downstream	0	3260	1	20254	NA
4478366_1	2023_40024	4478366	4478366	outside	0	3260	1	20254	NA
4492722_1	2023_218768	4492722	4492722	intersecting or downstream	0	3260	1	20254	NA
4500694_1	2023_201260	4500694	4500694	outside	0	3260	1	20254	NA
4583670_1	2023_113049	4583670	4583670	outside	0	3260	1	20254	NA
4590198_1	2023_46042	4590198	4590198	outside	0	3260	1	20254	NA
4623442_1	2023_39094	4623442	4623442	intersecting or downstream	0	3260	1	20254	NA
4646226_1	2023_39327	4646226	4646226	intersecting or downstream	0	3260	1	20254	NA
4677106_1	2023_39373	4677106	4677106	intersecting or downstream	0	3260	1	20254	NA
4678802_1	2023_260213	4678802	4678802	intersecting or downstream	0	3260	1	20254	NA
4767134_1	2023_90379	4767134	4767134	intersecting or downstream	0	3260	1	20254	NA
4771806_1	2023_5616	4771806	4771806	intersecting or downstream	0	3260	1	20254	NA
4777846_1	2023_224930	4777846	4777846	intersecting or downstream	0	3260	1	20254	NA
4834166_1	2023_45964	4834166	4834166	intersecting or downstream	0	3260	1	20254	NA
4881526_1	2023_206738	4881526	4881526	outside	0	3260	1	20254	NA
4965042_1	2023_218812	4965042	4965042	intersecting or downstream	0	3260	1	20254	NA
4979190_1	2023_252510	4979190	4979190	outside	0	3260	1	20254	NA
5012950_1	2023_33414	5012950	5012950	intersecting or downstream	0	3260	1	20254	NA
5062046_1	2023_90386	5062046	5062046	intersecting or downstream	0	3260	1	20254	NA
5118034_1	2023_213781	5118034	5118034	intersecting or downstream	0	3260	1	20254	NA
5136530_1	2023_260203	5136530	5136530	intersecting or downstream	0	3260	1	20254	NA
5230070_1	2023_224809	5230070	5230070	intersecting or downstream	0	3260	1	20254	NA
5288466_1	2023_255353	5288466	5288466	intersecting or downstream	0	3260	1	20254	NA
5505106_1	2023_240902	5505106	5505106	outside	0	3260	1	20254	NA
5589622_1	2023_46037	5589622	5589622	outside	0	3260	1	20254	NA
5593042_1	2023_230706	5593042	5593042	outside	0	3260	1	20254	NA
5655030_1	2023_252550	5655030	5655030	outside	0	3260	1	20254	NA
5856006_1	2023_169150	5856006	5856006	outside	0	3260	1	20254	NA
5951681_1	2023_219276	5951681	5951681	outside	0	3260	1	20254	NA
6072286_1	2023_5576	6072286	6072286	outside	0	3260	1	20254	NA
6249590_1	2023_206706	6249590	6249590	outside	0	3260	1	20254	NA
6644950_1	2023_144038	6644950	6644950	outside	0	3260	1	20254	NA
6725878_1	2023_113037	6725878	6725878	outside	0	3260	1	20254	NA
6827474_1	2023_209483	6827474	6827474	outside	0	3260	1	20254	NA
6929966_1	2023_166826	6929966	6929966	outside	0	3260	1	20254	NA
6954258_1	2023_226468	6954258	6954258	outside	0	3260	1	20254	NA
7115990_1	2023_144004	7115990	7115990	outside	0	3260	1	20254	NA
7241746_1	2023_255433	7241746	7241746	outside	0	3260	1	20254	NA
7550870_1	1_4_1692	7550870	7550870	intersecting or downstream	0	3260	0	17365	AntGr_03
8185921_1	1_4_1011	8185921	8185921	intersecting or downstream	0	3260	1	17732	BorBe_01
11085430_1	1_4_882	11085430	11085430	outside	0	3260	1	17730	BriLo_06
16967745_1	1_4_1008	16967745	16967745	intersecting or downstream	0	3260	1	18044	BorBe_02
