point_code	assessment_date	type_observed	completed	type_cover_circle	type_cover_square	distance	sampling_unit_code
1_1	2019-01-01	NA	NA	NA	NA	0	103425_2130_hd
1_1	2019-01-01	NA	NA	NA	NA	0	103425_2160
100_1	2018-09-20	2170	TRUE	66% 2130 + 15% 2170 + 19% gh	100% 2170	0	12054321_2170
100050_1	2014-09-01	4010	TRUE	24% 2310 + 76% 4010	4010	0.1	100050_4010
100297_2	2016-06-07	6510_hu	TRUE	18% 6510_hu + 22% gh + 60% onbekend	6510_hu	69.6	100297_6510_hu
1003230_1	2016-09-15	2330_bu	TRUE	100% 2330_bu	2330_bu	0	1003230_2330_bu
1004470_1	2015-08-18	7140_meso	TRUE	100% 7140_meso	100% 7140_meso	0	1004470_7140_meso
100626_2	2017-07-07	4030	TRUE	100% 4030	4010	160.5	100626_4030
1007490_2	2014-06-05	6510_huk	TRUE	100% 6510	6510	5.1	1007490_6510_huk
1012662_1	2018-08-22	4030	TRUE	100% 4030	4030	0.1	1012662_2330_bu
1013294_2	2016-09-20	7140_meso	TRUE	100% 7140_meso	100% 7140_meso	46.8	1013294_7140_meso
1018841_2	2020-05-26	6510_hu	TRUE	100% 6510_hu	6510_hu	40.5	1018841_6510_hu
102098_1	2014-09-11	2310	TRUE	100% 2310	2310	0	102098_2310
1022766_1	2015-06-10	6230_hmo	TRUE	20% rbbms + 20% 4010 + 30% 6230_hmo + 20% gh + 10% 3130_aom	100% 6230_hmo	0	1022766_6230_hmo
1023282_1	2018-06-11	6510_hu	TRUE	100% 6510	6510	0.1	1023282_6510_hu
103_1	2018-09-20	2170	TRUE	54% 2130 + 29% 2160 + 17% 2170	60% 2160 + 40% 2170	0	12545841_2170
103094_2	2016-09-15	7140_meso	TRUE	40% rbbso + 10% 3130_aom + 50% 7140_meso	100% 7140_meso	13.7	103094_7140_meso
10317874_1	2019-07-04	6410_mo	TRUE	100% 6410	100% 6410	0.6	10317874_6410_mo
10354_1	2015-05-20	9160	TRUE	100% 9160	NA	0	10354_9160
103609_2	2015-04-27	91E0_vc	TRUE	60% 9130_end + 40% 91E0_vc	NA	23.7	103609_91E0_vc
103634_1	2018-08-03	4030	TRUE	100% 4030	4030	0.1	103634_4030
1036446_2	2017-07-12	6230_hmo	TRUE	50% 4030 + 40% 6230_hmo + 10% gh	100% 6230_hmo	15.2	1036446_6230_hmo
1037522_2	2018-07-12	6230_hn	TRUE	100% 6230_hn	100% 6230_hn	40.4	1037522_6230_hn
1040518_1	2017-06-29	6230_hn	TRUE	73% 6230_hn + 27% gh	100% 6230_hn	0.2	1040518_6230_hn
1043410_1	2017-07-28	2330_bu	TRUE	100% 2330_bu	2330_bu	0	1043410_2330_bu
104342_2	2015-04-23	91E0_vc	TRUE	100% 91E0_vc	NA	10.1	104342_91E0_vc
105_1	2018-08-24	2170	TRUE	10% 2130 + 32% 2160 + 58% 2170	100% 2170	0	12644145_2170
10513_1	2019-04-15	9130_end	TRUE	100% 9130_end	NA	0.2	10513_9130_end
1052582_1	2018-05-31	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1052582_6510_hu
1053622_1	2017-08-29	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1053622_2330_bu
105682_1	2014-09-08	2310	TRUE	100% 2310	2310	0	105682_2310
106_1	2018-01-01	NA	NA	NA	NA	0	12873521_2170
10622226_1	2018-06-14	6510_hus	TRUE	100% 6510_hus	6510_hus	0	10622226_6510_hus
1062514_1	2020-05-27	6510_hu	TRUE	100% 6510_hu	6510_hu	0.4	1062514_6510_hu
1062930_1	2016-07-28	6410_mo	TRUE	20% gh + 80% 6410_mo	100% 6410_mo	0	1062930_6410_mo
1065910_1	2017-07-31	2330_bu	TRUE	100% 2330_bu	2330_bu	0.2	1065910_2330_bu
106614_1	2016-11-17	4010	TRUE	100% 4010	4010	0.1	106614_4010
1068793_1	2020-05-27	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1068793_6510_hu
107_1	2018-09-20	2170	TRUE	60% 2130 + 27% 2170 + 13% 2180	100% 2170	0	13070129_2170
10706_1	2015-06-01	2310	TRUE	100% 2310	2310	0	10706_2310
10717462_1	2019-05-16	6510_hus	TRUE	100% 6510_hus	6510_hus	0	10717462_6510_hus
10766985_2	2016-06-09	6410_mo	TRUE	5% gh + 95% 6410_mo	100% 6410_mo	30.2	10766985_6410_mo
1076854_1	2016-10-04	2330_bu	TRUE	100% 2330_bu	2330_bu	0.5	1076854_2330_bu
1078198_1	2018-08-22	4030	TRUE	100% 4030	4030	0.1	1078198_2330_bu
107830_2	2018-05-30	7140_meso	TRUE	28% gh + 72% 7140_meso	100% 7140_meso	40.7	107830_7140_meso
108_1	2018-08-24	2170	TRUE	22% 2120 + 59% 2130_hd + 19% 2170	100% 2170	0	13561649_2170
1085366_1	2017-07-20	2330_bu	TRUE	68% 2330_bu + 32% 9 : bossen	2330_bu	0.3	1085366_2330_bu
1085366_2	2017-07-31	6230_hn	TRUE	62% 6230_hn + 38% gh	100% 6230_hn	1.4	1085366_6230_hn
1087350_2	2016-09-20	7140_meso	TRUE	13% gh + 87% 7140_meso	100% 7140_meso	40.2	1087350_7140_meso
109_1	2018-09-20	2170	TRUE	50% 2120 + 32% 2160 + 18% 2170	100% 2170	0	13594417_2170
1092434_1	2017-07-10	2330_bu	TRUE	100% 2330_bu	2330_bu	0	1092434_2330_bu
1095890_2	2018-07-12	6230_hn	TRUE	84% 6230_hn + 16% gh	50% 6230_ha + 50% 6230_hn	21.8	1095890_6230_hn
1097222_2	2018-06-05	6510_hu	TRUE	100% 6510_hu	6510_hu	79.4	1097222_6510_hu
11_2	2019-01-01	NA	NA	NA	NA	23.6	1047861_2120
110_1	2018-09-18	2170	TRUE	63% 2130 + 37% 2170	100% 2170	0	13823793_2170
1107666_1	2018-06-19	6230_ha	TRUE	100% 6230_ha	100% 6230_ha	0.2	1107666_6230_ha
111_1	2018-09-20	2170	TRUE	35% 2130 + 25% 2160 + 40% 2170	100% 2170	0	13889329_2170
1110750_1	2016-10-03	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1110750_2330_bu
11126_1	2015-05-29	9120	TRUE	58% 9120 + 42% geen habitat 	NA	0.1	11126_9190
111326_1	2014-08-19	4010	TRUE	100% 4010	4010	0.1	111326_4010
11142674_1	2019-07-03	6410_mo	TRUE	40% gh + 60% 6410_mo	100% 6410_mo	0.2	11142674_6410_mo
1114582_1	2018-09-04	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1114582_2330_bu
1115122_2	2016-08-25	6230_hn	TRUE	70% 6230_hn + 30% 4030	100% 6230_hn	40.6	1115122_6230_hn
1117877_1	2015-08-20	1330_hpr	TRUE	50% rbbzil + 50% 1330_hpr	100% 1330_hpr	0.4	1117877_1330_hpr
111918_1	2018-09-05	4030	TRUE	100% 4030	4030	0	111918_4030
112_1	2018-08-20	2190_mp	TRUE	39% 2130 + 19% 2160 + 14% 2170 + 28% 2190_mp	100% 2190_mp	0	16772913_2190_mp
11218_1	2014-09-10	4010	TRUE	100% 4010	4010	0	11218_4010
11228210_1	2019-06-19	6410_mo	TRUE	45% gh + 55% 6410_mo	100% 6410_mo	0.1	11228210_6410_mo
112850_1	2018-07-26	4030	TRUE	100% 4030	4030	0.1	112850_4030
1131446_1	2017-08-25	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1131446_2330_bu
1132201_2	2017-07-10	7140_meso	TRUE	20% gh + 80% 7140_meso	100% 7140_meso	2.6	1132201_7140_meso
1132838_2	2018-05-23	6510_hu	TRUE	100% 6510_hu	6510_hu	50	1132838_6510_hu
11343122_1	2020-05-26	6510_hus	TRUE	100% 6510_hus	6510_hus	0	11343122_6510_hus
1135826_2	2018-07-12	6230_hn	TRUE	100% 6230_hn	100% 6230_hn	24.5	1135826_6230_hn
11366482_2	2015-06-03	6120	TRUE	15% 3260 + 30% 6430 + 25% gh + 30% 6120	100% 6120	16.4	11366482_6120
11394098_1	2019-07-05	6410_mo	TRUE	10% 6410 + 90% gh	100% 6410	0.1	11394098_6410_mo
1140086_1	2017-07-25	2330_bu	TRUE	100% 2330_bu	2330_bu	NA	1140086_2330_bu
1140434_2	2017-07-04	7140_meso	TRUE	20% gh + 80% 7140_meso	100% 7140_meso	50.2	1140434_7140_meso
1143734_1	2018-08-14	4030	TRUE	100% 4030	4030	0	1143734_2330_bu
11466886_1	2019-07-08	6410_mo	TRUE	95% 6410 + 5% gh	100% 6410	0.2	11466886_6410_mo
11481_1	2019-04-12	9130_end	TRUE	100% 9130_end	NA	0.7	11481_9130_end
1150886_2	2016-07-19	6230_hmo	TRUE	96% 6230_hmo + 4% 9160	100% 6230_hmo	4.2	1150886_6230_hmo
1152657_2	2014-05-30	6510_hua	TRUE	100% 6510_hua	6510_huk	4.2	1152657_6510_hua
115422_1	2015-06-23	2310	TRUE	100% 2310	2310	0	115422_2310
1156230_2	2015-06-09	6410_mo	TRUE	13% gh + 87% 6410_mo	100% 6410_mo	29.9	1156230_6410_mo
115638_1	2017-08-23	4030	TRUE	100% 4030	4030	0	115638_4030
1163750_2	2018-05-25	6510_hu	TRUE	100% 6510_hu	6510_hu	99.7	1163750_6510_hu
116434_1	2018-08-08	2310	TRUE	100% 2310	2310	0.1	116434_2310
116950_1	2016-09-06	6230_ha	TRUE	100% 6230_ha	100% 6230_ha	0.3	116950_6230_ha
117202_1	2014-09-10	2310	TRUE	100% 2310	2310	0.1	117202_2310
1172854_1	2017-07-25	2330_bu	TRUE	100% 2330_bu	2330_bu	0.4	1172854_2330_bu
11742_1	2016-10-27	4010	TRUE	100% 4010	4010	0.1	11742_4010
1175794_1	2018-06-11	6510_hu	TRUE	110% 6510_hu + 8% gh	6510_hu	0	1175794_6510_hu
1180534_1	2019-08-13	2330_bu	TRUE	100% 2330	2330_bu	0.1	1180534_2330_bu
118441_1	2016-06-13	6510_hu	TRUE	26% 6510 + 12% 6510_hu + 20% gh + 42% onbekend	6510_hu	0.1	118441_6510_hu
1185042_1	2020-05-18	6510_hu	TRUE	100% 6510_hu	6510_hu	0	1185042_6510_hu
11865_2	2015-04-29	91E0_vc	TRUE	100% 91E0_vc	NA	27.8	11865_91E0_vc
1195701_1	2015-08-13	1310_pol	TRUE	10% rbbah + 40% rbbmr + 50% 1310_pol	100% 1310_pol	0	1195701_1330_hpr
1196982_1	2017-08-24	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1196982_2330_bu
12_2	2019-10-31	2120	TRUE	16% 2130 + 63% 2120 + 21% 2160	100% 2120	76.3	wn_22
120018_1	2014-09-15	4010	TRUE	100% 4010	4010	0.1	120018_4010
120110_1	2014-09-24	4010	TRUE	100% 4010	4010	0.1	120110_4010
1201345_1	2018-06-13	6510_hu	TRUE	100% 6510_hu	6510_hu	0	1201345_6510_hu
120530_1	2017-07-27	4030	TRUE	100% 4030	4030	0.1	120530_4030
1209270_1	2018-08-16	2330_bu	TRUE	100% 2330	2330	0	1209270_2330_bu
121042_1	2015-06-03	91E0_vo	FALSE	100% 91E0_vo	NA	0.1	121042_91E0_vo
1212382_2	2018-06-27	6230_hn	TRUE	81% 6230_hn + 19% gh	100% 6230_hn	14.1	1212382_6230_hn
1213150_1	2017-08-14	4030	TRUE	100% 4030	2330_bu	0.1	1213150_2330_bu
1216422_1	2016-07-19	6230_hmo	TRUE	90% 6230_hmo + 10% gh	100% 6230_hmo	0.3	1216422_6230_hmo
1217746_2	2018-07-12	6230_hn	TRUE	100% 6230_hn	100% 6230_hn	11.7	1217746_6230_hn
12229422_1	2019-08-01	6410_mo	TRUE	100% 6410_mo	100% 6410_mo	0.1	12229422_6410_mo
12248402_2	2019-06-18	6120	TRUE	30% gh + 70% 6120	100% 6120	10.7	12248402_6120
122578_1	2014-08-29	4010	TRUE	73% 4010 + 14% 9 : bossen + 13% gh	4010	0	122578_4010
12274_1	2014-08-22	4030	TRUE	100% 4030	4030	NA	12274_4030
1227910_1	2018-05-30	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1227910_6510_hu
1234130_1	2018-08-08	4030	TRUE	100% 4030	4030	0.1	1234130_2330_bu
124278_1	2014-09-23	2310	TRUE	100% 2310	2310	0.1	124278_2310
124382_1	2016-10-12	4010	TRUE	100% 4010	4010	0.1	124382_4010
12457234_1	2020-05-18	6510_hus	TRUE	100% 6510_hus	6510_hus	0	12457234_6510_hus
12470_1	2015-06-11	91E0_vm	TRUE	100% 91E0_vm	NA	0.1	12470_91E0_vm
12485561_2	2019-01-01	NA	NA	NA	NA	20	12485561_6410_mo
1249582_1	2018-06-13	6230_ha	TRUE	100% 6230_ha	100% 6230_ha	0.4	1249582_6230_ha
1250770_1	2017-07-06	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1250770_2330_bu
125394_1	2015-06-01	2310	TRUE	100% 2310	2310	0.1	125394_2310
1254486_2	2018-06-27	6230_hmo	FALSE	49% 6230_hmo + 51% gh	100% 6230_hmo	58	1254486_6230_hmo
1255122_1	2018-06-19	6230_ha	TRUE	100% 6230_ha	100% 6230_ha	0.2	1255122_6230_ha
1258422_2	2018-07-10	7140_meso	TRUE	50% gh + 20% 7140_meso + 30% 6410_mo	50% gh + 50% 7140_meso	24.8	1258422_7140_meso
125998_1	2016-10-24	4030	TRUE	87% 4030 + 13% onbekend	4030	0	125998_4030
1260481_1	2018-06-08	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1260481_6510_hu
1266738_2	2018-06-11	6510_hu	TRUE	60% 6510_hu + NA% gh	6510_hu	40	1266738_6510_hu
1269458_1	2018-06-19	6230_ha	TRUE	100% 6230_ha	100% 6230_ha	0.2	1269458_6230_ha
12710_2	2018-06-22	9120	TRUE	100% 9120	NA	1.3	12710_9160
1271122_2	2018-06-18	6510_hu	TRUE	100% 6510_hu + 27% gh	6510_hu	19.4	1271122_6510_hu
1272114_1	2017-06-29	2330_dw	TRUE	43% 2330_dw + 30% 9 : bossen + 27% gh	2330_dw	0.1	1272114_2330_dw
127218_2	2014-05-19	6510_hu	TRUE	100% 6510_hu	6510_hu	4	127218_6510_hu
1274486_1	2018-07-19	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1274486_2330_bu
1274806_1	2018-08-23	4030	TRUE	100% 4030	4030	0.1	1274806_2330_bu
127710_1	2016-11-16	4010	TRUE	100% 4 : heide- en struikvegetaties	2310	0.1	127710_4010
1280278_2	2014-05-27	6510_hus	TRUE	100% 6510_hus	6510_hus	1.1	1280278_6510_hus
1284946_1	2017-07-13	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1284946_2330_bu
1285330_1	2018-07-31	2330_bu	TRUE	100% 2330_bu	2330	0.1	1285330_2330_bu
1286278_2	2015-06-25	6410_ve	TRUE	50% gh + 50% 6410_ve	100% 6410_ve	10	1286278_6410_ve
1287030_1	2019-08-13	2330_bu	FALSE	100% 2330_bu + 100% 6 : (half) natuurlijke graslanden	2330_bu	0	1287030_2330_bu
128786_1	2018-07-18	4030	TRUE	100% 4030	4030	0.1	128786_4030
129234_1	2014-09-11	4010	TRUE	100% 4010	4010	0.1	129234_4010
1297718_1	2018-09-17	2330_bu	TRUE	100% 2330_bu	2330_bu	0	1297718_2330_bu
13_1	2018-09-18	2170	TRUE	84% 2130 + 16% 2170	100% 2170	0	1240881_2170
1300962_2	2018-06-20	6510_hu	TRUE	100% 6510_hu	6510_hu	70	1300962_6510_hu
1303926_1	2017-07-14	2330_bu	TRUE	100% 2330_bu	2330_bu	NA	1303926_2330_bu
1313142_1	2017-07-27	2330_bu	TRUE	100% 2330_bu	2330_bu	NA	1313142_2330_bu
131806_1	2016-10-20	4010	TRUE	100% 4010	4010	0.1	131806_4010
1322614_1	2018-07-05	7140_meso	TRUE	100% 7140_meso	100% 7140_meso	0.3	1322614_7140_meso
1328054_1	2017-08-22	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1328054_2330_bu
1328710_2	2018-06-06	6510_hu	TRUE	100% 6510_hu	6510_hu	50.1	1328710_6510_hu
1338805_2	2018-06-28	1330_da	TRUE	NA% rbbah + NA% rbbkam + 48% 1330_hpr	100% 1330_da	4.9	1338805_1330_hpr
1340342_1	2018-09-11	2310	TRUE	100% 2310	2310	0.1	1340342_2330_bu
134098_1	2014-09-09	2310	TRUE	100% 2310	2310	0	134098_2310
13426066_1	2019-07-03	6120	TRUE	100% 6120	100% 6120	0.1	13426066_6120
1344438_1	2017-07-28	2330_bu	TRUE	23% 2330_bu + 77% 4030	4030	NA	1344438_2330_bu
1346134_2	2016-08-24	6410_ve	TRUE	100% 6410_ve	100% 6410_ve	78.8	1346134_6410_ve
1348277_1	2017-09-29	1330_hpr	TRUE	71% 1330_hpr + 29% gh	100% 1330_hpr	0.7	1348277_1330_hpr
1350866_1	2018-07-31	2330_bu	TRUE	100% 2330_bu	2330_bu	0	1350866_2330_bu
1355014_1	2018-06-06	6510_hu	TRUE	100% 6510_hu	6510_hu	0	1355014_6510_hu
1359838_1	2018-06-27	6230_hn	TRUE	100% 6230_hn	100% 6230_hn	0	1359838_6230_hn
136402_1	2014-09-16	4030	TRUE	100% 4030	4030	0	136402_4030
136697_1	2015-05-06	91E0_vc	TRUE	100% 91E0_vc	NA	0	136697_91E0_vc
1367026_2	2017-06-30	7140_oli	TRUE	50% 7140_oli + 50% 4010	100% 7140_oli	41.2	1367026_7140_oli
13686_1	2015-09-10	4030	TRUE	100% 4030	4030	0	13686_4030
13732946_1	2019-07-03	6120	TRUE	70% gh + 30% 6120	100% 6120	0.1	13732946_6120
1375542_1	2018-05-29	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1375542_6510_hu
1380278_1	2018-07-31	2310	TRUE	100% 2310	2310	0.1	1380278_2330_bu
1381302_1	2018-08-20	2310	TRUE	100% 2310	2310	0	1381302_2330_bu
1381569_1	2018-06-06	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1381569_6510_hu
1381569_2	2018-06-12	6230_hmo	TRUE	22% 6230_hmo + 78% gh	100% 6230_hmo	1.8	1381569_6230_hmo
1388150_1	2015-06-29	7140_meso	TRUE	100% 7140_meso	100% 7140_meso	0.3	1388150_7140_meso
1390706_2	2020-05-28	6510_hu	TRUE	100% 6510_hu	6510_hu	94.5	1390706_6510_hu
1392705_2	2018-06-12	6230_hmo	TRUE	36% 6230_hmo + 64% gh	100% 6230_hmo	50.3	1392705_6230_hmo
1395766_1	2019-05-27	6230_hn	TRUE	100% 6230_hn	100% 6230_hn	0	1395766_6230_hn
1397810_1	2018-06-07	6510_hu	TRUE	100% 6510	6510	0	1397810_6510_hu
14_2	2019-10-24	2120	TRUE	46% 2130 + 22% 2120 + 32% 2160	100% 2120	11.7	10010417_2120
140006_1	2015-06-11	9190	TRUE	100% 9190	NA	0.1	140006_91E0_vo
1402230_2	2017-07-26	2330_bu	TRUE	100% 2330_bu	2330_bu	4.1	1402230_2330_bu
14029138_1	2015-06-04	6120	TRUE	10% rbbsp + 3% 6510 + 87% 6120	100% 6120	0.1	14029138_6120
1403657_2	2017-09-29	1330_hpr	TRUE	61% gh + 39% 1330_hpr	100% 1330_hpr	10.7	1403657_1330_hpr
1404382_1	2017-06-30	7140_oli	TRUE	75% 7140_oli + 25% gh	100% 7140_oli	0.4	1404382_7140_oli
1405382_1	2018-06-05	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1405382_6510_hu
1405878_1	2018-08-16	2330_bu	TRUE	100% 2330	2330	0	1405878_2330_bu
1407698_1	2017-08-03	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1407698_2330_bu
1409089_2	2018-06-12	6230_hmo	TRUE	NA% 91E0_meso + NA% 4010 + 38% 6230_hmo + NA% 9120	100% 6230_hmo	8.8	1409089_6230_hmo
141010_1	2016-08-18	6230_ha	TRUE	50% 6230_ha + 50% gh	100% 6230_ha	0.2	141010_6230_ha
1414354_2	2018-07-12	6230_hn	TRUE	22% 6230_hn + 78% gh	100% 6230_hn	10	1414354_6230_hn
141778_1	2018-08-02	4010	TRUE	100% 4010	4010	0	141778_4010
1422046_1	2017-09-05	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1422046_2330_bu
1425286_1	2019-07-08	6410_ve	TRUE	100% 6410	100% 6410	0	1425286_6410_ve
1428270_1	2017-06-26	6230_hn	TRUE	47% 6230_hn + 53% gh	100% 6230_hn	0	1428270_6230_hn
143382_1	2016-05-30	6510_hu	TRUE	92% 6510_hu + 8% gh	6510_hu	0.1	143382_6510_hu
143602_2	2016-07-01	6410_ve	TRUE	30% 6410 + 30% 6510_hu + 40% gh	100% 6410	112	143602_6410_ve
1436718_2	2016-06-20	6230_hmo	TRUE	75% 6230_hmo + 25% gh	100% 6230_hmo	10.2	1436718_6230_hmo
1436882_2	2016-09-02	6230_hmo	TRUE	10% 6230_hn + 70% 4030 + 20% 6230_hmo	10% 6230_hn + 40% 4030 + 50% 6230_hmo	29.8	1436882_6230_hmo
144094_1	2014-09-03	2310	TRUE	100% 2310	2310	0.6	144094_2310
1442745_2	2019-06-18	6510_hu	TRUE	100% 6510_hu	6510_hu	1.6	1442745_6510_hu
1443378_2	2017-07-27	6230_hn	TRUE	53% 6230_hn + 46% gh	100% 6230_hn	30	1443378_6230_hn
1454814_1	2017-09-06	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1454814_2330_bu
1457206_1	2019-05-24	6230_ha	TRUE	70% 6230_ha + 30% 4030	100% 6230_ha	0.1	1457206_6230_ha
1461001_2	2018-06-14	1330_hpr	TRUE	NA% rbbkam + NA% rbbzil + NA% 6430_mr + 50% 1330_hpr	100% 1330_hpr	58.8	1461001_1330_hpr
1461302_1	2019-05-27	6230_ha	TRUE	100% 6230_ha	100% 6230_ha	0.2	1461302_6230_ha
146265_2	2015-04-27	91E0_vc	TRUE	89% 91E0_vc + 11% geen habitat 	NA	30.5	146265_91E0_vc
1464626_1	2019-07-02	6230_ha	TRUE	100% 6230_ha	100% 6230_ha	0.1	1464626_6230_ha
1468114_1	2017-07-10	7140_oli	TRUE	70% 7140_oli + 30% 4010	70% 7140_oli + 30% 4010	0.1	1468114_7140_oli
1470918_1	2018-06-05	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1470918_6510_hu
1471094_1	2018-07-23	2330_bu	TRUE	100% 2330_bu	2330_bu	0	1471094_2330_bu
147174_1	2015-06-10	9190	TRUE	100% 9190	NA	0	147174_91E0_vo
1474033_2	2018-06-14	6510_hus	TRUE	100% 6510_hus	6510_hus	10	1474033_6510_hus
1474526_1	2016-08-04	6230_hmo	TRUE	10% 6230_hmo + 90% gh	100% 6230_hmo	0	1474526_6230_hmo
1478129_2	2018-05-23	6510_hua	TRUE	100% 6510_hua	6510_hua	30	1478129_6510_hua
1479890_1	2018-08-02	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1479890_2330_bu
148406_1	2017-08-24	4030	TRUE	100% 4030	4030	0.1	148406_4030
1487746_2	2014-06-03	6510_huk	TRUE	59% 6510_huk + 41% gh	6510_huk	5.1	1487746_6510_huk
1487798_1	2018-07-25	2310	TRUE	100% 2310	2310	0	1487798_2330_bu
1498102_2	2018-06-06	7140_meso	TRUE	NA% rbbms + NA% gh + 36% 7140_meso	100% 7140_meso	32.4	1498102_7140_meso
1498805_2	2019-01-01	NA	NA	NA	NA	6.6	1498805_1330_hpr
1500498_1	2018-06-18	6510_huk	TRUE	100% 6510_huk	6510_huk	0.1	1500498_6510_huk
1500534_1	2017-07-26	2330_bu	TRUE	100% 2330_bu	2330_bu	0.2	1500534_2330_bu
1501490_1	2017-06-29	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1501490_2330_bu
1504306_1	2018-06-07	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1504306_6510_hu
15070_1	2015-06-26	4010	TRUE	100% 4010	4010	0.1	15070_4010
1508278_1	2019-07-10	6230_hn	TRUE	100% 6230_hn	100% 6230_hn	0.1	1508278_6230_hn
1512322_1	2019-06-19	6510_hu	TRUE	70% 6510_hu + 30% 9 : bossen	6510	0.1	1512322_6510_hu
1512374_1	2018-08-13	4030	TRUE	100% 4030	4030	0.1	1512374_2330_bu
151250_1	2014-09-08	2310	TRUE	100% 2310	2310	0.1	151250_2310
1512530_2	2018-06-19	6510_hu	TRUE	100% 6510_hu	6510_hu	70.1	1512530_6510_hu
1512886_2	2018-05-30	7140_meso	TRUE	64% gh + 10% rbbhc + 26% 7140_meso	100% 7140_meso	20	1512886_7140_meso
151318_1	2018-06-11	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	151318_6510_hu
152786_1	2014-09-19	2310	TRUE	70% 2310 + 30% 2330_bu	2310	0	152786_2310
1529025_1	2018-06-07	6510_hu	TRUE	100% 6510_hu	6510_hu	0	1529025_6510_hu
1531602_1	2019-07-04	6230_ha	TRUE	100% 6230_ha	100% 6230_ha	0.1	1531602_6230_ha
1533266_1	2018-06-18	6510_hu	TRUE	100% 6510_hu + 35% gh	6510_hu	0.5	1533266_6510_hu
1535001_2	2020-05-26	6510_hu	TRUE	100% 6510_hu	6510_hu	8.1	1535001_6510_hu
1536630_1	2018-07-20	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1536630_2330_bu
1536950_1	2018-08-23	4030	TRUE	100% 4030	4030	0.1	1536950_2330_bu
1542626_1	2018-06-20	6510_hu	TRUE	100% 6510_hu	6510_hus	0.1	1542626_6510_hu
1547090_1	2017-07-13	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	1547090_2330_bu
1547265_1	2018-06-29	1330_hpr	TRUE	23% rbbzil + 77% 1330_hpr	100% 1330_hpr	0.1	1547265_1330_hpr
1547570_1	2018-06-11	6510_hu	TRUE	100% 6510_hu	6510_hu	0.1	1547570_6510_hu
154834_1	2018-08-01	2330_bu	TRUE	100% 2330_bu	2330_bu	0.1	154834_2330_bu
