"recording_givid";"location_code";"layer_code";"cover_code"
"IV2017021712152647";"Hechtel";"STR";"20"
"IV2017021712211026";"Helchteren";"K";"100"
"IV2017021712211026";"Helchteren";"MO";"20"
"IV2017021712211026";"Helchteren";"S";"4"
"IV2017021712211026";"Helchteren";"STR";"10"
"IV2017021712361732";"Helchteren";"K";"100"
"IV2017021712361732";"Helchteren";"MO";"5"
"IV2017021712361732";"Helchteren";"S";"20"
"IV2017021712361732";"Helchteren";"STR";"10"
"IV2017021712570028";"Koersel";"K";"95"
"IV2017021712570028";"Koersel";"MO";"40"
"IV2017021712570028";"Koersel";"NB";"3"
"IV2017021712570028";"Koersel";"S";"1"
"IV2017021712570028";"Koersel";"STR";"10"
"IV2017021713122588";"Koersel";"K";"95"
"IV2017021713122588";"Koersel";"NB";"5"
"IV2017021713122588";"Koersel";"STR";"10"
"IV2017021716013587";"Kortessem (F)";"K";"75"
"IV2017021716013587";"Kortessem (F)";"MO";"0-x-1"
"IV2017021716250537";"Koersel";"B";"20"
"IV2017021716250537";"Koersel";"K";"95"
"IV2017021716250537";"Koersel";"MO";"3"
"IV2017021716250537";"Koersel";"NB";"5"
"IV2017021716250537";"Koersel";"S";"25"
"IV2017021716440979";"Koersel";"K";"95"
"IV2017021716440979";"Koersel";"MO";"1"
"IV2017021716440979";"Koersel";"NB";"5"
"IV2017021716440979";"Koersel";"S";"65"
"IV2017021716580390";"Helchteren";"B";"5"
"IV2017021716580390";"Helchteren";"K";"100"
"IV2017021716580390";"Helchteren";"MO";"30"
"IV2017021716580390";"Helchteren";"S";"2"
"IV2017021717085050";"Kortessem (F)";"K";"100"
"IV2017021717085050";"Kortessem (F)";"MO";"0-x-1"
"IV2017021717285026";"Helchteren";"K";"100"
"IV2017021717285026";"Helchteren";"MO";"30"
"IV2017022009530029";"Kortessem (F)";"K";"100"
"IV2017022009530029";"Kortessem (F)";"MO";"1"
"IV2017022009530029";"Kortessem (F)";"NB";"0-x-1"
"IV2017022010250767";"Kortessem (F)";"K";"100"
"IV2017022010250767";"Kortessem (F)";"MO";"1"
"IV2017022010250767";"Kortessem (F)";"NB";"0-x-1"
"IV2017022011083153";"Aarschot (F)";"K";"65"
"IV2017022011083153";"Aarschot (F)";"MO";"0-x-1"
"IV2017022011205318";"Aarschot (F)";"K";"100"
"IV2017022011205318";"Aarschot (F)";"MO";"0-x-1"
"IV2017022012400428";"Gors-Opleeuw";"B";"2"
"IV2017022012400428";"Gors-Opleeuw";"K";"100"
"IV2017022012400428";"Gors-Opleeuw";"MO";"1"
"IV2017022012400428";"Gors-Opleeuw";"NB";"1"
"IV2017022012400428";"Gors-Opleeuw";"S";"5"
"IV2017022013121858";"Gors-Opleeuw";"K";"100"
"IV2017022013121858";"Gors-Opleeuw";"MO";"1"
"IV2017022013575286";"Beverlo";"K";"70"
"IV2017022013575286";"Beverlo";"MO";"70"
"IV2017022014150360";"Beverlo";"K";"70"
"IV2017022014150360";"Beverlo";"MO";"70"
"IV2017022015155634";"Webbekom";"K";"80"
"IV2017022015155634";"Webbekom";"MO";"95"
"IV2017022015390187";"Webbekom";"K";"80"
"IV2017022015390187";"Webbekom";"MO";"95"
"IV2017022111070389";"Koersel";NA;NA
"IV2017022111075784";"Koersel";"K";"95"
"IV2017022111075784";"Koersel";"MO";"40"
"IV2017022111075784";"Koersel";"NB";"5"
"IV2017022111173825";"Koersel";"K";"90"
"IV2017022111173825";"Koersel";"MO";"30"
"IV2017022111173825";"Koersel";"NB";"10"
"IV2017022111173825";"Koersel";"S";"5"
"IV2017022111183354";"Koersel";"K";"90"
"IV2017022111183354";"Koersel";"MO";"30"
"IV2017022111183354";"Koersel";"NB";"10"
"IV2017022111183354";"Koersel";"S";"5"
"IV2017022112283578";"Melkwezer";"B";"5"
"IV2017022112283578";"Melkwezer";"K";"95"
"IV2017022112283578";"Melkwezer";"MO";"5"
"IV2017022112545290";"Melkwezer";"K";"95"
"IV2017022112545290";"Melkwezer";"MO";"5"
"IV2017022115074420";"Melkwezer";"K";"95"
"IV2017022115074420";"Melkwezer";"MO";"20"
"IV2017022115375527";"Melkwezer";"K";"95"
"IV2017022115375527";"Melkwezer";"MO";"20"
"IV2017022211082902";"Nieuwrode";"K";"100"
"IV2017022211082902";"Nieuwrode";"MO";"60"
"IV2017022211385297";"Nieuwrode";"K";"100"
"IV2017022211385297";"Nieuwrode";"MO";"60"
"IV2017022212325377";"Nieuwrode";"K";"100"
"IV2017022212325377";"Nieuwrode";"MO";"5"
"IV2017022213011877";"Nieuwrode";"K";"100"
"IV2017022213011877";"Nieuwrode";"MO";"5"
"IV2017022310474384";"Sint-Joris-Winge";"K";"100"
"IV2017022310474384";"Sint-Joris-Winge";"MO";"5"
"IV2017022310474384";"Sint-Joris-Winge";"STR";"2"
"IV2017022315312444";"Sint-Joris-Winge";"K";"100"
"IV2017022315312444";"Sint-Joris-Winge";"MO";"5"
"IV2017022315312444";"Sint-Joris-Winge";"STR";"1"
"IV2017022316243012";"Diepenbeek (F)";"K";"95"
"IV2017022316243012";"Diepenbeek (F)";"MO";"1"
"IV2017022316243012";"Diepenbeek (F)";"NB";"5"
"IV2017022318064503";"Diepenbeek (F)";"K";"90"
"IV2017022318064503";"Diepenbeek (F)";"MO";"1"
"IV2017022318064503";"Diepenbeek (F)";"STR";"10"
"IV2017022410260914";"Diepenbeek (F)";"K";"100"
"IV2017022410260914";"Diepenbeek (F)";"MO";"0-x-1"
"IV2017022410260914";"Diepenbeek (F)";"NB";"1"
"IV2017022410371769";"Diepenbeek (F)";"K";"100"
"IV2017022410371769";"Diepenbeek (F)";"MO";"0-x-1"
"IV2017022411275584";"Diepenbeek (F)";"K";"100"
"IV2017022411275584";"Diepenbeek (F)";"MO";"0-x-1"
"IV2017022412465341";"Diepenbeek (F)";"K";"100"
"IV2017022412465341";"Diepenbeek (F)";"MO";"0-x-1"
"IV2017022413245704";"Diepenbeek (F)";"K";"95"
"IV2017022413245704";"Diepenbeek (F)";"NB";"5"
"IV2017022413445592";"Diepenbeek";"K";"95"
"IV2017022413445592";"Diepenbeek";"NB";"5"
"IV2017022414255992";"Diepenbeek (F)";"K";"99"
"IV2017022414255992";"Diepenbeek (F)";"NB";"1"
"IV2017022414402631";"Diepenbeek (F)";"K";"100"
"IV2017022415170190";"Eigenbilzen";"K";"100"
"IV2017022415170190";"Eigenbilzen";"MO";"5"
"IV2017022415353736";"Eigenbilzen";"K";"100"
"IV2017022415353736";"Eigenbilzen";"MO";"5"
"IV2017112908192809";"Brecht (F)";"K";"70"
"IV2017112908192809";"Brecht (F)";"MO";"40"
"IV2017112908192809";"Brecht (F)";"NB";"10"
"IV2017112908460816";"Brecht (F)";"K";"70"
"IV2017112908460816";"Brecht (F)";"MO";"40"
"IV2017112908460816";"Brecht (F)";"NB";"10"
"IV2017112912245580";"Serskamp";"K";"95"
"IV2017112912245580";"Serskamp";"MO";"10"
"IV2017112912245580";"Serskamp";"NB";"5"
"IV2017112912245580";"Serskamp";"S";"1"
"IV2017112912580483";"Serskamp";"K";"100"
"IV2017112912580483";"Serskamp";"MO";"10"
"IV2017112913404044";"Ravels (F)";"K";"60"
"IV2017112913404044";"Ravels (F)";"MO";"50"
"IV2017112913583445";"Ravels (F)";"K";"60"
"IV2017112913583445";"Ravels (F)";"MO";"75"
"IV2017112914094613";"Sint-Katelijne-Waver (F)";"K";"95"
"IV2017112914094613";"Sint-Katelijne-Waver (F)";"MO";"50"
"IV2017112914372721";"Sint-Katelijne-Waver (F)";"K";"100"
"IV2017112914372721";"Sint-Katelijne-Waver (F)";"MO";"50"
"IV2017112915064012";"Lede (F)";"K";"90"
"IV2017112915064012";"Lede (F)";"MO";"5"
"IV2017112915243954";"Lede (F)";"K";"100"
"IV2017112915243954";"Lede (F)";"MO";"5"
"IV2017113008452613";"Veltem-Beisem";"K";"100"
"IV2017113008452613";"Veltem-Beisem";"MO";"15"
"IV2017113010102631";"Veltem-Beisem";"K";"100"
"IV2017113010102631";"Veltem-Beisem";"MO";"15"
"IV2017113010285455";"Beersel (F)";"K";"100"
"IV2017113010285455";"Beersel (F)";"MO";"80"
"IV2017113011505228";"Beersel (F)";"K";"100"
"IV2017113011505228";"Beersel (F)";"MO";"80"
"IV2017120107565546";"Zuienkerke (F)";"K";"90"
"IV2017120107565546";"Zuienkerke (F)";"NB";"10"
"IV2017120108115051";"Zuienkerke (F)";"K";"98"
"IV2017120108115051";"Zuienkerke (F)";"NB";"2"
"IV2017120108515000";"Zuienkerke (F)";"K";"95"
"IV2017120108515000";"Zuienkerke (F)";"NB";"5"
"IV2017120109032402";"Zuienkerke (F)";"K";"100"
"IV2017120109300668";"Assenede (F)";"K";"50"
"IV2017120109300668";"Assenede (F)";"NB";"50"
"IV2017120111004036";"Assenede (F)";"K";"60"
"IV2017120111004036";"Assenede (F)";"NB";"40"
"IV2017120111214650";"Gelrode";"K";"100"
"IV2017120111214650";"Gelrode";"MO";"20"
"IV2017120111463956";"Gelrode";"K";"100"
"IV2017120111463956";"Gelrode";"MO";"20"
"IV2017120111560343";"Gelrode";"K";"80"
"IV2017120111560343";"Gelrode";"MO";"70"
"IV2017120112090282";"Gelrode";"K";"70"
"IV2017120112090282";"Gelrode";"MO";"90"
"IV2017120112213868";"Gelrode";"K";"85"
"IV2017120112213868";"Gelrode";"MO";"20"
"IV2017120112213868";"Gelrode";"NB";"5"
"IV2017120112213868";"Gelrode";"S";"1"
"IV2017120112565263";"Gelrode";"K";"85"
"IV2017120112565263";"Gelrode";"MO";"20"
"IV2017120112565263";"Gelrode";"NB";"5"
"IV2017120113271520";"Zedelgem (F)";"B";"60"
"IV2017120113271520";"Zedelgem (F)";"K";"70"
"IV2017120113271520";"Zedelgem (F)";"MO";"30"
"IV2017120113271520";"Zedelgem (F)";"NB";"10"
"IV2017120114192219";"Zedelgem (F)";"B";"100"
"IV2017120114192219";"Zedelgem (F)";"K";"70"
"IV2017120114192219";"Zedelgem (F)";"MO";"30"
"IV2017120114192219";"Zedelgem (F)";"NB";"5"
"IV2017120114521398";"Berg (Kampenhout)";"K";"85"
"IV2017120114521398";"Berg (Kampenhout)";"MO";"90"
"IV2017120117414722";"Berg (Kampenhout)";"K";"85"
"IV2017120117414722";"Berg (Kampenhout)";"MO";"90"
"IV2017120117561385";"Berg (Kampenhout)";"B";"5"
"IV2017120117561385";"Berg (Kampenhout)";"K";"95"
"IV2017120117561385";"Berg (Kampenhout)";"MO";"90"
"IV2017120117561385";"Berg (Kampenhout)";"S";"5"
"IV2017120118231406";"Berg (Kampenhout)";"K";"95"
"IV2017120118231406";"Berg (Kampenhout)";"MO";"90"
"IV2017120118342938";"Berg (Kampenhout)";"K";"80"
"IV2017120118342938";"Berg (Kampenhout)";"MO";"80"
"IV2017120118520910";"Berg (Kampenhout)";"K";"85"
"IV2017120118520910";"Berg (Kampenhout)";"MO";"65"
"IV2018022813474152";"Zutendaal (F)";"K";"70"
"IV2018022813474152";"Zutendaal (F)";"MO";"30"
"IV2018022813474152";"Zutendaal (F)";"NB";"1"
"IV2018022813474152";"Zutendaal (F)";"STR";"3"
"IV2018030220035638";"Zutendaal (F)";"K";"70"
"IV2018030220035638";"Zutendaal (F)";"MO";"60"
"IV2018030220035638";"Zutendaal (F)";"STR";"3"
"IV2018030221003731";"Zutendaal (F)";"K";"40"
"IV2018030221003731";"Zutendaal (F)";"MO";"80"
"IV2018030221003731";"Zutendaal (F)";"NB";"1"
"IV2018030221003731";"Zutendaal (F)";"STR";"1"
"IV2018030221161700";"Zutendaal (F)";"K";"30"
"IV2018030221161700";"Zutendaal (F)";"MO";"90"
"IV2018030221161700";"Zutendaal (F)";"NB";"1"
"IV2018030221161700";"Zutendaal (F)";"STR";"1"
"IV2018030414484080";"Beringen (F)";"K";"60"
"IV2018030414484080";"Beringen (F)";"MO";"80"
"IV2018030414484080";"Beringen (F)";"NB";"1"
"IV2018030414484080";"Beringen (F)";"S";"0-x-1"
"IV2018030414484080";"Beringen (F)";"STR";"10"
"IV2018030415500950";"Beringen (F)";"K";"60"
"IV2018030415500950";"Beringen (F)";"MO";"80"
"IV2018030415500950";"Beringen (F)";"NB";"1"
"IV2018030415500950";"Beringen (F)";"S";"2"
"IV2018030415500950";"Beringen (F)";"STR";"20"
"IV2018030416111323";"Leopoldsburg (F)";"K";"95"
"IV2018030416111323";"Leopoldsburg (F)";"MO";"5"
"IV2018030416111323";"Leopoldsburg (F)";"NB";"1"
"IV2018030416111323";"Leopoldsburg (F)";"STR";"3"
"IV2018030416251801";"Leopoldsburg (F)";"K";"95"
"IV2018030416251801";"Leopoldsburg (F)";"MO";"5"
"IV2018030416251801";"Leopoldsburg (F)";"STR";"3"
"IV2018030417514439";"Hechtel-Eksel";"K";"100"
"IV2018030417514439";"Hechtel-Eksel";"MO";"20"
"IV2018030417514439";"Hechtel-Eksel";"S";"0-x-1"
"IV2018030418071744";"Hechtel-Eksel";"K";"98"
"IV2018030418071744";"Hechtel-Eksel";"MO";"2"
"IV2018030418071744";"Hechtel-Eksel";"STR";"1"
"IV2018030509282854";"Rillaar";"K";"99"
"IV2018030509282854";"Rillaar";"MO";"1"
"IV2018030510512619";"Rillaar";"K";"98"
"IV2018030510512619";"Rillaar";"MO";"1"
"IV2018030510512619";"Rillaar";"NB";"1"
"IV2018030511543075";"Tielt-Winge";"K";"98"
"IV2018030511543075";"Tielt-Winge";"MO";"3"
"IV2018030511543075";"Tielt-Winge";"S";"2"
"IV2018030511543075";"Tielt-Winge";"STR";"1"
"IV2018030512111847";"Tielt-Winge";"K";"95"
"IV2018030512111847";"Tielt-Winge";"MO";"5"
"IV2018030512111847";"Tielt-Winge";"NB";"1"
"IV2018030513285216";"Tielt-Winge";"K";"98"
"IV2018030513285216";"Tielt-Winge";"MO";"2"
"IV2018030513285216";"Tielt-Winge";"S";"10"
"IV2018030513530737";"Tielt-Winge";"K";"95"
"IV2018030513530737";"Tielt-Winge";"MO";"5"
"IV2018030513530737";"Tielt-Winge";"S";"10"
"IV2018030514502970";"Glabbeek";"K";"90"
"IV2018030514502970";"Glabbeek";"MO";"20"
"IV2018030514502970";"Glabbeek";"NB";"2"
"IV2018030514594211";"Glabbeek";"K";"95"
"IV2018030514594211";"Glabbeek";"MO";"10"
"IV2018030610544440";"Linter";"K";"100"
"IV2018030610544440";"Linter";"MO";"1"
"IV2018030613174547";"Linter";"K";"100"
"IV2018030613174547";"Linter";"MO";"1"
"IV2018030614095561";"Linter";"K";"100"
"IV2018030614095561";"Linter";"MO";"1"
"IV2018030614122464";"Linter";"K";"100"
"IV2018030614122464";"Linter";"MO";"1"
"IV2018030711143521";"Diepenbeek (F)";"K";"98"
"IV2018030711143521";"Diepenbeek (F)";"MO";"1"
"IV2018030711143521";"Diepenbeek (F)";"NB";"1"
"IV2018030711265492";"Diepenbeek (F)";"K";"98"
"IV2018030711265492";"Diepenbeek (F)";"MO";"1"
"IV2018030711265492";"Diepenbeek (F)";"STR";"1"
"IV2018030712002428";"Remersdaal";"K";"98"
"IV2018030712002428";"Remersdaal";"MO";"3"
"IV2018030712002428";"Remersdaal";"NB";"3"
"IV2018030712002428";"Remersdaal";"S";"1"
"IV2018030714024007";"Bocholt (F)";"K";"98"
"IV2018030714024007";"Bocholt (F)";"MO";"1"
"IV2018030714024007";"Bocholt (F)";"NB";"2"
"IV2018030714233862";"Bocholt (F)";"K";"96"
"IV2018030714233862";"Bocholt (F)";"MO";"1"
"IV2018030714233862";"Bocholt (F)";"NB";"4"
"IV2018030715412818";"Maasmechelen (F)";"B";"1"
"IV2018030715412818";"Maasmechelen (F)";"K";"90"
"IV2018030715412818";"Maasmechelen (F)";"MO";"1"
"IV2018030715412818";"Maasmechelen (F)";"NB";"4"
"IV2018030715412818";"Maasmechelen (F)";"S";"25"
"IV2018030715412818";"Maasmechelen (F)";"STR";"6"
"IV2018030715551163";"Maasmechelen (F)";"K";"80"
"IV2018030715551163";"Maasmechelen (F)";"MO";"1"
"IV2018030715551163";"Maasmechelen (F)";"NB";"10"
"IV2018030715551163";"Maasmechelen (F)";"STR";"9"
"IV2018030719161925";"Zonhoven (F)";"K";"100"
"IV2018030719161925";"Zonhoven (F)";"MO";"10"
"IV2018030719244841";"Zonhoven (F)";"K";"100"
"IV2018030719244841";"Zonhoven (F)";"MO";"1"
"IV2018030719311738";"Zonhoven (F)";"K";"75"
"IV2018030719311738";"Zonhoven (F)";"MO";"20"
"IV2018030719311738";"Zonhoven (F)";"STR";"5"
"IV2018030719484292";"Zonhoven (F)";"K";"83"
"IV2018030719484292";"Zonhoven (F)";"MO";"15"
"IV2018030719484292";"Zonhoven (F)";"STR";"2"
"IV2018031009120638";"Rekem";"K";"98"
"IV2018031009120638";"Rekem";"MO";"5"
"IV2018031009120638";"Rekem";"S";"60"
"IV2018031009120638";"Rekem";"STR";"3"
"IV2018031009213148";"Rekem";"K";"98"
"IV2018031009213148";"Rekem";"STR";"3"
"IV2018031010111411";"Averbode";"K";"95"
"IV2018031010111411";"Averbode";"MO";"3"
"IV2018031010111411";"Averbode";"NB";"2"
"IV2018031010191687";"Averbode";"K";"98"
"IV2018031010191687";"Averbode";"MO";"1"
"IV2018031010191687";"Averbode";"NB";"1"
"IV2018031015311631";"Koersel";"K";"95"
"IV2018031015311631";"Koersel";"MO";"5"
"IV2018031015311631";"Koersel";"S";"0-x-1"
"IV2018031021192601";"Koersel";"K";"98"
"IV2018031021192601";"Koersel";"MO";"2"
"IV2018031108343898";"Beringen (F)";"K";"100"
"IV2018031108343898";"Beringen (F)";"MO";"0-x-1"
"IV2018031108343898";"Beringen (F)";"NB";"1"
"IV2018031108343898";"Beringen (F)";"S";"40"
"IV2018031109022283";"Beringen (F)";"K";"95"
"IV2018031109022283";"Beringen (F)";"MO";"0-x-1"
"IV2018031109022283";"Beringen (F)";"NB";"2"
"IV2018031109022283";"Beringen (F)";"S";"20"
"IV2018031112563585";"Averbode";"K";"100"
"IV2018031112563585";"Averbode";"MO";"2"
"IV2018031112563585";"Averbode";"S";"3"
"IV2018031113042338";"Averbode";"K";"100"
"IV2018031113042338";"Averbode";"MO";"2"
"IV2018031113221134";"Koersel";"K";"85"
"IV2018031113221134";"Koersel";"MO";"15"
"IV2018031113285776";"Koersel";"K";"80"
"IV2018031113285776";"Koersel";"MO";"25"
"IV2018082008574310";"Remersdaal";"K";"95"
"IV2018082008574310";"Remersdaal";"MO";"20"
"IV2018082407540429";"Diepenbeek (F)";"K";"100"
"IV2018082407540429";"Diepenbeek (F)";"MO";"60"
"IV2018082408442571";"Diepenbeek";"K";"100"
"IV2018082408442571";"Diepenbeek";"MO";"60"
